,The Elder Scrolls V Skyrim,Fallout New Vegas,Left 4 Dead 2,Team Fortress 2,Dota 2,Robocraft,Garry's Mod,Sid Meier's Civilization V,Counter-Strike Global Offensive,Grand Theft Auto V,Portal 2,Half-Life 2,Portal,Borderlands 2,Call of Duty Modern Warfare 2 - Multiplayer,Call of Duty Modern Warfare 2,Counter-Strike Source,Unturned,Alien Swarm,War Thunder,Counter-Strike,PAYDAY 2,Heroes & Generals,Terraria,Warframe
56038151,4.9836224778390426,3.2361086992515754e-05,1.609446339861736,1.7318138499412232e-05,1.5110640606416127e-05,1.289309427820929e-05,1.6890675380321516e-05,6.579244619301873,1.539379257171957e-05,2.0656334639022e-05,2.0794452864202744,1.9886983164178748e-05,2.7999997342099827e-05,5.347108759204509,1.6496679698781968e-05,2.050478608811863e-05,1.7700453685811345e-05,1.5111658325740662e-05,2.29866154503836e-05,1.896014259286191e-05,1.2270723614887333e-05,1.7856931397404745e-05,1.3289145372141079e-05,1.909093884277965e-05,2.0049230406136763e-05
148928721,4.169684091175311e-05,3.668059719396273e-05,3.2625899737804945e-05,2.3026194721957287,10.163554750773537,2.3689572967668458e-05,3.5772448010410626e-05,3.8638484659769266e-05,6.234433867341515,3.7879049744958825e-05,2.8700829413619172e-05,3.745832623448942e-05,4.3466861612347415e-05,3.8512539248741106e-05,3.4525913325852995e-05,4.25618321089926e-05,3.7715998361103316e-05,4.75346045368827e-05,4.0083754124510216e-05,1.3863122055295187,4.703994379894794e-05,3.3200841999204694e-05,3.4226126749020765e-05,3.799750226894405e-05,3.949763682381446e-05
189191657,-7.090492202746822e-05,-7.531950254711672e-05,-4.941067158902514e-05,5.209428478595061,-4.74038815570438e-05,7.192843651102873,-4.739737076296379e-05,-6.79124379754663e-05,-4.905594427022302e-05,-6.098161049759165e-05,-3.9643687689768154e-05,-6.24527020223193e-05,-8.253773995076297e-05,-5.943404091403661e-05,-5.829409808136828e-05,-7.408387517469597e-05,-4.895469308976718e-05,5.347038561166705,-5.1084462480225686e-05,-2.5489382373746472e-05,-6.635433542141037e-05,-5.796033907807175e-05,3.78409879626616,-4.856902342353378e-05,-5.3754254568651777e-05
57103808,-0.0001340604450392213,-0.0001261985259022814,-9.067221915070366e-05,2.890257852000853,-0.00013024001029369566,4.553756720092009,4.744792982513541,5.857786265640519,3.8916842030676144,-0.00014223421957781349,-7.95719988299741e-05,3.9510931460601753,2.9442559182508043,-0.00011994826225272205,-0.00012454465563408183,-0.00013408306369727975,4.882659083047019,-9.526182704052052e-05,-0.00010231291735743625,5.885963101757836,-0.00013828561710748234,-0.00011406055383739991,5.267703208066507,6.380006532252542,-0.00012629781155353346
63276972,-7.863814649133114e-06,-3.713894914070576e-06,3.583494466812888,-5.022217373228993e-06,-5.354613904244101e-06,-1.001216095681331e-05,-4.3213866538214835e-06,6.671993043334482,-4.456635023559685e-06,-1.1392812463759895e-05,2.6856135821563903e-06,3.5263152719505104,0.6931465343854203,2.515715705415099e-07,-1.2054679526793677e-05,1.5471176623768374e-06,-8.894920711736843e-07,-6.026406548632078e-06,6.738583514763963e-06,1.3152706824409036e-06,-4.4007171502056315e-06,-1.016324549564527e-05,-5.94174673391013e-06,-2.5611636708806905e-06,-2.650344453641698e-06
94088853,8.070891535662582,2.1907584681871805e-05,1.172236414870269e-06,-1.057918494706563e-05,5.049846855930582,1.754971119657039e-05,-1.4364878584007564e-06,7.8359513871662445,9.11132292439512e-06,9.930301675726584e-08,4.394412409700583,-9.733619057289917e-06,1.7578655393130205e-05,5.521433380395505,-1.1125350637949935e-05,-1.0741798072973257e-06,-1.6425986196324673e-05,5.123913528493274,-1.594149942967265e-05,-6.807411815096797e-07,-1.369727147034185e-05,2.482288643957002e-06,3.5149782239420253e-06,4.7184672038788396,6.235000836308303e-06
48058475,-0.00017876156135294855,-0.0001573339716844585,-0.00011078865503439455,-0.00016298550271625275,-0.00014020767236253514,-0.00010345871424408187,-0.00017783630123019978,-0.00014809440470854194,-0.00015678187404965168,-0.00017106970958602458,-0.00012832872064466887,-0.00014355777677973021,3.970051253666823,-0.00017478435671400072,-0.00014668388558156171,-0.00018571842280144986,8.59950056143028,-0.0001873814293015782,5.236186730707666,-0.00016801852949058539,-0.00017977285133235268,-0.00013253166988267485,-0.00013467480264212883,-0.00014509537206941118,-0.00017315620732983062
170095814,-2.414697830854576e-05,-2.231360827607797e-05,-2.413421206105657e-05,-2.9012195293520477e-05,4.2484379619948065,2.7725482616494657,-3.1264323658442194e-05,-1.5746931359433293e-05,-3.9125533242004144e-05,-3.2393770674198706e-05,-2.9478589044998943e-05,-3.204056543269784e-05,-4.705026351580086e-05,-3.7698186429508906e-05,-2.2898212669098847e-05,-2.2335484172811973e-05,-3.0499676489850188e-05,-2.1070326803910458e-05,-2.1207980038249412e-05,6.396835843340586,-3.474975127866562e-05,-1.7712039347412643e-05,6.870615292515018e-06,-1.429632587437306e-05,-2.855014986251066e-05
148510973,6.593101657345016,8.156375184154579e-05,3.178102397810508,6.620133375606631,8.385293489756394e-05,5.887007440668157e-05,8.629532650851921e-05,7.823192485707321e-05,8.492961470810094,7.831091232556143e-05,1.79180926907171,7.076522177260248e-05,9.826555525158383e-05,8.257211542788216e-05,7.250328826619124e-05,7.588721574723919e-05,7.772269258834565e-05,4.094395740462686,6.938274310964057e-05,7.21484136343498e-05,8.723670061641837e-05,7.269695378598418e-05,6.357154292969258e-05,1.098673030809414,7.602055143010096e-05
64369759,-3.436724954485158e-05,-3.903686874227692e-05,-3.0255566941202248e-05,-3.6555987471521346e-05,5.278057143546319,-3.698199667460685e-05,-4.7548153618292626e-05,-3.407657947835022e-05,-4.9750083574030715e-05,-3.934978631493497e-05,2.9443937543348806,-2.406141401483081e-05,3.4656366499582973,4.543222927018375,-3.7278164389781164e-05,-4.975315224777623e-05,-3.685238932848121e-05,-4.80687802706595e-05,-2.9278807933324992e-05,-5.2871731507752866e-05,-5.589839437569258e-05,-3.775786488296984e-05,-3.050207730606936e-05,-2.5650548556135764e-05,-4.880282136631769e-05
9823354,7.265300135434233,2.6389507988706247,3.2957499409578337,4.8361703581621045,-9.283675222193562e-05,-7.15094958141266e-05,-0.00010353773057261602,7.33289650568926,-9.512067729086793e-05,-0.00010680561440551658,5.129803495047069,5.480497002692646,4.406578986684205,3.090927702324073,-0.00010138881597202087,-0.00010904356422116726,4.3693365169526635,-0.00012308921863027675,2.3977659051270983,-9.769468401359577e-05,3.0909109677499664,2.197120320498527,-8.20469877498686e-05,-9.172517599893814e-05,-9.843048193536642e-05
100519466,3.5553589769992673,1.2794216014639315e-05,7.054575788979753e-06,5.886105227789862,-1.6368595821127106e-05,6.592997896650243,7.5390146157733104,2.9436389465411055e-06,-4.354901146153682e-06,1.07828807959593e-05,5.010608410597809,1.4646671620985951e-05,6.865389393900894e-07,5.049845194341579,9.611030838662045e-06,8.375115026997982e-06,9.403235980869353e-06,3.581721041938399e-05,2.1618022520035575e-05,2.7725733532833856,-8.115306915746094e-06,5.703762048802702,2.3098998157782036e-05,1.4440694147653022e-05,4.189651150835159
180789959,3.9120356737209887,2.2965885358744446e-05,1.8627107760977584e-05,3.5553595575142447,1.653001772381404e-05,1.5739810446510063e-05,2.410942378129387e-05,2.4025727896034965e-05,1.9667449380400208e-05,2.1777612214502802e-05,2.1035001791334934e-05,2.1715357967336523e-05,2.3294967476199622e-05,4.997210045222531,2.3807732302304517e-05,1.751101616532987e-05,1.8537195290835134e-05,1.4235344871134798e-05,2.4962759409572982e-05,1.4861499201736528e-05,1.7033606706757273e-05,1.67875731285075e-05,1.8651310710155783e-05,1.7355972914945262e-05,1.973013140962104e-05
168031436,4.948715096093092,6.3968556630504665,-2.0851869871407995e-05,-2.5068496794882607e-05,-2.7906664212647492e-05,-2.117229085282902e-05,3.8711615476006966,-2.076678873709128e-05,-2.3292285785707345e-05,-2.392343015587623e-05,-5.9506927687797e-06,-2.1398222338221053e-05,-3.617033699290138e-05,-2.3628232416309093e-05,-2.834061821235121e-05,-3.188826645043598e-05,-2.0681421312046283e-05,-2.1446089839194163e-05,-2.8508832216243305e-05,-2.336206735957203e-05,-3.217964693096473e-05,-2.3912960445383256e-05,-2.7093382188094926e-05,-1.6561546450055886e-05,-2.6734233597467726e-05
162543176,4.335782040140401e-05,3.706393086443224e-05,3.2054280033644875e-05,4.74496260386326,3.2022783675007184e-05,2.5598157159831516e-05,5.298339301404507,3.362517726091128e-05,5.347129997285154,3.9144544683357225e-05,3.170354747098009e-05,4.471354991244386e-05,4.111066530377657e-05,2.9957592458878435,3.8351260524778894e-05,3.550523431563322e-05,4.185310554951922e-05,4.950828657874212e-05,4.048038132162894e-05,3.2601938227695075e-05,3.803884217025294e-05,3.6460622169761044e-05,3.0104788324807154e-05,3.943967318169847e-05,3.571956928783945e-05
95898619,-1.7044736464743826e-06,8.959803693150484e-07,7.461348029734819e-06,8.42412496967757e-07,2.824835030685832e-07,-9.247581945404859e-07,1.0043244177776525e-06,-2.128590476355548e-06,7.72752350356588,-7.954882101778603e-06,6.413044325120247e-08,1.1298577781186311e-06,-3.3665321196062876e-06,-2.8200911784117472e-06,9.345442422013658e-06,-5.115623797435807e-06,8.283968717387092,-1.4785466755697158e-06,4.7204911335384155e-06,-4.200717126862668e-06,3.178042313790252,-4.6670151368264164e-07,-2.666992913495458e-06,-3.904996040994812e-06,-8.00719299345187e-06
16167221,-0.00012341438547095422,-0.00011454579936643541,-9.119723412082468e-05,3.0444120128061605,-0.00010484689097180938,-8.156110626902304e-05,-0.00011156196588743747,-0.00010926017332150291,-0.00010351330831868557,-0.00011660983059192233,-7.421179532257021e-05,4.8673836109862085,2.9442745929804395,-0.00012348328728562026,-9.798116797878962e-05,-0.00012388476802324415,-0.00010093908764584115,-0.0001251133381198309,-9.440907236814739e-05,-0.00010796640430502093,5.857777600038812,-0.00010080614651238593,-8.055649321692393e-05,-9.396367405832072e-05,2.564825490365409
